 ,Label,Area,Mean,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,work,341,255,255,255,255,18.867,16.614,18.867,16.614,75.255,10,3,19,27,26.378,16.460,75.059,0.757,1.603,0.624,0.905
2,work,285,255,255,255,255,197.711,16.258,197.711,16.258,62.184,189,6,18,21,20.458,17.738,70.284,0.926,1.153,0.867,0.938
3,work,278,255,255,255,255,219.288,28.295,219.288,28.295,63.941,211,17,17,22,22.171,15.965,85.153,0.854,1.389,0.720,0.919
4,work,231,255,255,255,255,45.080,26.591,45.080,26.591,55.698,37,18,16,18,18.316,16.058,79.994,0.936,1.141,0.877,0.941
5,work,501,255,255,255,255,174.438,33.692,174.438,33.692,82.669,162,21,25,26,26.184,24.362,71.852,0.921,1.075,0.930,0.948
6,work,660,255,255,255,255,73.805,41.779,73.805,41.779,98.326,59,26,28,31,33.520,25.070,57.641,0.858,1.337,0.748,0.952
7,work,228,255,255,255,255,233.592,47.645,233.592,47.645,55.698,225,39,16,18,18.208,15.943,92.820,0.924,1.142,0.876,0.940
8,work,448,255,255,255,255,138.969,55.246,138.969,55.246,78.426,128,42,22,26,26.243,21.736,96.428,0.915,1.207,0.828,0.947
9,work,401,255,255,255,255,195.153,59.767,195.153,59.767,87.497,184,43,21,33,35.718,14.294,67.394,0.658,2.499,0.400,0.890
10,work,520,255,255,255,255,28.848,57.998,28.848,57.998,84.669,17,44,24,28,27.975,23.667,71.086,0.912,1.182,0.846,0.952
11,work,425,255,255,255,255,99.432,73.644,99.432,73.644,77.841,89,60,20,27,28.018,19.314,71.220,0.881,1.451,0.689,0.953
12,work,271,255,255,255,255,214.666,71.094,214.666,71.094,62.184,206,60,17,22,21.564,16.001,72.699,0.881,1.348,0.742,0.922
13,work,159,255,255,255,255,168.022,73.211,168.022,73.211,46.284,162,65,13,16,15.748,12.856,70.553,0.933,1.225,0.816,0.930
14,work,412,255,255,255,255,64.330,84.393,64.330,84.393,75.598,53,73,22,24,24.085,21.780,99.224,0.906,1.106,0.904,0.945
15,work,426,255,255,255,255,130.272,84.110,130.272,84.110,87.497,117,75,30,21,31.332,17.311,17.588,0.699,1.810,0.553,0.869
16,work,260,255,255,255,255,34.188,86.592,34.188,86.592,59.941,25,77,18,19,19.541,16.941,87.838,0.909,1.153,0.867,0.932
17,work,289,255,255,255,255,223.054,95.324,223.054,95.324,62.770,213,85,19,20,20.402,18.035,62.012,0.922,1.131,0.884,0.935
18,work,676,255,255,255,255,175.286,99.583,175.286,99.583,104.326,157,87,34,27,35.721,24.095,166.249,0.780,1.483,0.675,0.909
19,work,361,255,255,255,255,103.320,111.863,103.320,111.863,70.184,92,102,23,20,23.700,19.394,172.832,0.921,1.222,0.818,0.945
20,work,545,255,255,255,255,37.557,122.731,37.557,122.731,86.912,25,108,24,30,29.151,23.805,79.568,0.907,1.225,0.817,0.949
21,work,337,255,255,255,255,131.349,121.438,131.349,121.438,72.770,122,109,18,26,24.773,17.321,78.509,0.800,1.430,0.699,0.906
22,work,229,255,255,255,255,159.391,122.496,159.391,122.496,58.527,151,114,18,18,18.204,16.017,19.435,0.840,1.137,0.880,0.891
23,work,195,255,255,255,255,63.141,123.346,63.141,123.346,51.113,56,115,15,17,16.878,14.711,92.741,0.938,1.147,0.872,0.929
24,work,593,255,255,255,255,224.441,127.856,224.441,127.856,89.255,211,115,28,26,28.682,26.324,172.688,0.935,1.090,0.918,0.960
25,work,393,255,255,255,255,168.950,138.363,168.950,138.363,77.012,156,127,24,23,23.220,21.549,163.321,0.833,1.078,0.928,0.914
26,work,259,255,255,255,255,121.597,140.809,121.597,140.809,59.355,113,131,18,19,19.619,16.808,54.525,0.924,1.167,0.857,0.935
27,work,349,255,255,255,255,92.331,148.176,92.331,148.176,71.456,82,137,20,21,23.065,19.266,67.823,0.859,1.197,0.835,0.951
28,work,239,255,255,255,255,67.354,147.153,67.354,147.153,57.113,59,138,16,19,19.215,15.837,79.091,0.921,1.213,0.824,0.939
29,work,167,255,255,255,255,188.662,156.853,188.662,156.853,48.042,182,149,13,16,16.565,12.836,70.843,0.909,1.291,0.775,0.933
30,work,413,255,255,255,255,136.846,163.500,136.846,163.500,76.770,125,152,23,23,26.886,19.559,41.676,0.881,1.375,0.727,0.951
31,work,415,255,255,255,255,16.608,169.194,16.608,169.194,77.598,5,157,23,24,25.660,20.592,62.314,0.866,1.246,0.802,0.937
32,work,244,255,255,255,255,214.205,166.857,214.205,166.857,57.941,205,157,17,19,18.800,16.525,71.912,0.913,1.138,0.879,0.930
33,work,537,255,255,255,255,87.729,172.170,87.729,172.170,89.598,75,159,25,28,30.766,22.223,61.731,0.841,1.384,0.722,0.950
34,work,377,255,255,255,255,44.627,172.365,44.627,172.365,72.527,35,160,19,24,24.839,19.325,94.266,0.901,1.285,0.778,0.952
35,work,652,255,255,255,255,179.845,182.144,179.845,182.144,94.426,167,167,27,29,30.423,27.287,92.954,0.919,1.115,0.897,0.962
36,work,379,255,255,255,255,233.487,185.075,233.487,185.075,72.184,222,174,22,22,23.543,20.497,47.872,0.914,1.149,0.871,0.948
37,work,578,255,255,255,255,130.839,197.785,130.839,197.785,89.012,117,185,27,26,27.802,26.471,167.925,0.917,1.050,0.952,0.956
38,work,170,255,255,255,255,206.424,203.435,206.424,203.435,47.698,200,195,13,17,17.145,12.625,73.152,0.939,1.358,0.736,0.932
39,work,472,255,255,255,255,26.551,215.843,26.551,215.843,89.255,17,199,20,33,35.028,17.157,106.940,0.745,2.042,0.490,0.922
40,work,613,255,255,255,255,103.255,214.291,103.255,214.291,94.225,89,199,29,31,32.504,24.012,130.242,0.868,1.354,0.739,0.942
41,work,543,255,255,255,255,62.605,217.813,62.605,217.813,86.669,51,203,23,30,30.212,22.884,104.040,0.908,1.320,0.757,0.953
42,work,555,255,255,255,255,234.561,227.673,234.561,227.673,87.255,221,214,27,26,27.539,25.660,168.940,0.916,1.073,0.932,0.954
43,work,858,255,255,255,255,180.791,230.323,180.791,230.323,113.740,161,217,41,27,41.339,26.426,173.175,0.833,1.564,0.639,0.949
44,work,281,255,255,255,255,138.546,233.710,138.546,233.710,62.770,130,223,17,22,21.747,16.452,90.261,0.896,1.322,0.756,0.927
45,work,215,255,255,255,255,46.537,240.988,46.537,240.988,54.527,39,232,15,19,18.916,14.472,76.376,0.909,1.307,0.765,0.929
