Min	Max	Gen[C K-L2]	Emit[C K-L2]	Gen[C K-L3]	Emit[C K-L3]	Gen[O K-L2]	Emit[O K-L2]	Gen[O K-L3]	Emit[O K-L3]	Gen[Si K-L2]	Emit[Si K-L2]	Gen[Si K-L3]	Emit[Si K-L3]	Gen[Si K-M2]	Emit[Si K-M2]	Gen[Si K-M3]	Emit[Si K-M3]	Gen[Si L1-M2]	Emit[Si L1-M2]	Gen[Si L2-M1]	Emit[Si L2-M1]	Gen[Si L3-M1]	Emit[Si L3-M1]	Gen_I[C K-L2]	Emit_I[C K-L2]	Gen_I[C K-L3]	Emit_I[C K-L3]	Gen_I[O K-L2]	Emit_I[O K-L2]	Gen_I[O K-L3]	Emit_I[O K-L3]	Gen_I[Si K-L2]	Emit_I[Si K-L2]	Gen_I[Si K-L3]	Emit_I[Si K-L3]	Gen_I[Si K-M2]	Emit_I[Si K-M2]	Gen_I[Si K-M3]	Emit_I[Si K-M3]	Gen_I[Si L1-M2]	Emit_I[Si L1-M2]	Gen_I[Si L2-M1]	Emit_I[Si L2-M1]	Gen_I[Si L3-M1]	Emit_I[Si L3-M1]
		Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)
4999.800	4999.822	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.822	4999.844	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.844	4999.865	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.865	4999.887	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.887	4999.909	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.909	4999.931	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.931	4999.953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.953	4999.975	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.975	4999.996	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4999.996	5000.018	0.648	0.646	0.648	0.646	0.540	0.513	0.540	0.513	0.493	0.492	0.493	0.492	0.493	0.492	0.493	0.492	0.575	0.496	4.657	3.894	4.777	3.995	157793.059	157117.584	314917.278	313617.416	102673.149	97600.171	204534.140	194428.311	64418.629	64239.181	127817.306	127461.252	1098.162	1095.527	2178.746	2173.481	536.058	461.864	3632.191	3037.318	6847.920	5726.381
5000.018	5000.040	0.000	0.000	0.000	0.000	1.533	1.416	1.533	1.416	1.370	1.359	1.370	1.359	1.370	1.361	1.370	1.361	1.669	0.961	13.506	8.685	13.857	8.910	0.000	0.000	0.000	0.000	291609.226	269342.979	580911.784	536555.420	178853.609	177527.236	354875.397	352243.650	3048.965	3029.423	6049.129	6010.073	1555.383	895.392	10535.106	6774.089	19863.548	12772.274
5000.040	5000.062	0.000	0.000	0.000	0.000	1.646	1.458	1.646	1.458	1.445	1.424	1.445	1.424	1.445	1.427	1.445	1.427	1.806	0.572	14.602	6.387	14.981	6.553	0.000	0.000	0.000	0.000	312940.234	277285.604	623405.069	552377.842	188654.219	185999.395	374321.441	369053.827	3216.039	3176.868	6380.603	6302.326	1682.676	532.899	11389.351	4982.011	21474.591	9393.559
5000.062	5000.084	0.000	0.000	0.000	0.000	1.742	1.481	1.742	1.481	1.512	1.481	1.512	1.481	1.512	1.485	1.512	1.485	1.945	0.338	15.734	4.678	16.144	4.800	0.000	0.000	0.000	0.000	331357.395	281636.535	660093.709	561045.288	197440.819	193354.181	391755.522	383646.950	3365.827	3305.483	6677.780	6557.197	1812.488	315.319	12272.910	3649.136	23141.935	6880.853
5000.084	5000.105	0.000	0.000	0.000	0.000	1.848	1.507	1.848	1.507	1.586	1.542	1.586	1.542	1.586	1.548	1.586	1.548	2.062	0.198	16.653	3.371	17.086	3.459	0.000	0.000	0.000	0.000	351441.423	286589.371	700102.898	570911.782	207062.223	201422.619	410845.992	399656.077	3529.845	3446.519	7003.192	6836.688	1920.761	184.018	12989.523	2629.472	24492.596	4958.048
5000.105	5000.127	0.000	0.000	0.000	0.000	1.939	1.517	1.939	1.517	1.648	1.592	1.648	1.592	1.648	1.600	1.648	1.599	2.176	0.114	17.577	2.416	18.035	2.479	0.000	0.000	0.000	0.000	368830.788	288495.927	734744.077	574709.812	215196.484	207927.753	426985.722	412563.348	3668.512	3561.056	7278.307	7063.591	2027.128	106.511	13710.308	1884.395	25852.365	3553.241
5000.127	5000.149	0.000	0.000	0.000	0.000	2.048	1.537	2.048	1.537	1.724	1.655	1.724	1.655	1.724	1.664	1.724	1.663	2.313	0.067	18.678	1.745	19.165	1.791	0.000	0.000	0.000	0.000	389428.869	292206.315	775777.304	582101.240	225138.279	216074.827	446711.902	428728.503	3837.993	3703.935	7614.555	7346.692	2154.574	62.220	14568.783	1361.483	27471.572	2567.275
5000.149	5000.171	0.000	0.000	0.000	0.000	2.129	1.533	2.129	1.533	1.767	1.685	1.767	1.685	1.767	1.696	1.767	1.695	2.427	0.039	19.586	1.246	20.097	1.279	0.000	0.000	0.000	0.000	404844.727	291447.889	806487.079	580590.388	230777.699	220008.001	457901.452	436532.575	3934.129	3774.756	7805.289	7486.851	2260.780	35.952	15277.100	971.948	28807.659	1832.778
5000.171	5000.193	0.000	0.000	0.000	0.000	2.203	1.522	2.203	1.522	1.819	1.723	1.819	1.723	1.819	1.735	1.819	1.735	2.509	0.022	20.251	0.876	20.779	0.898	0.000	0.000	0.000	0.000	419024.405	289373.941	834734.271	576458.896	237573.711	224968.008	471385.874	446374.056	4049.983	3863.350	8035.142	7662.245	2337.749	20.416	15795.854	682.932	29785.929	1287.790
5000.193	5000.215	0.000	0.000	0.000	0.000	2.284	1.513	2.284	1.513	1.860	1.750	1.860	1.750	1.860	1.764	1.860	1.764	2.610	0.013	21.042	0.619	21.590	0.635	0.000	0.000	0.000	0.000	434324.490	287756.628	865213.417	573237.063	242936.765	228506.808	482027.068	453395.626	4141.408	3927.666	8216.529	7789.475	2431.429	11.686	16412.626	482.919	30948.780	910.625
5000.215	5000.236	0.000	0.000	0.000	0.000	2.346	1.491	2.346	1.491	1.902	1.777	1.902	1.777	1.902	1.793	1.902	1.792	2.699	0.007	21.770	0.435	22.339	0.446	0.000	0.000	0.000	0.000	446219.958	283573.186	888910.258	564903.270	248329.103	232008.418	492726.366	460343.404	4233.333	3991.471	8398.907	7915.682	2514.400	6.629	16981.160	339.295	32021.845	639.818
5000.236	5000.258	0.000	0.000	0.000	0.000	2.372	1.447	2.372	1.447	1.901	1.764	1.901	1.764	1.901	1.782	1.901	1.781	2.745	0.004	22.135	0.302	22.714	0.310	0.000	0.000	0.000	0.000	451121.760	275110.275	898675.087	548044.392	248244.034	230388.353	492557.575	457128.925	4231.883	3967.152	8396.030	7867.126	2557.736	3.724	17265.821	235.296	32558.974	443.709
5000.258	5000.280	0.000	0.000	0.000	0.000	2.411	1.410	2.411	1.410	1.897	1.749	1.897	1.749	1.897	1.768	1.897	1.767	2.804	0.002	22.590	0.209	23.180	0.214	0.000	0.000	0.000	0.000	458528.164	268154.404	913429.309	534187.672	247730.191	228357.404	491538.025	453099.183	4223.123	3935.767	8378.651	7804.556	2612.859	2.079	17620.504	162.691	33227.900	306.794
5000.280	5000.302	0.000	0.000	0.000	0.000	2.406	1.350	2.406	1.350	1.881	1.722	1.881	1.722	1.881	1.743	1.881	1.742	2.822	0.001	22.739	0.143	23.334	0.147	0.000	0.000	0.000	0.000	457507.171	256735.204	911395.399	511439.599	245621.707	224903.710	487354.441	446246.479	4187.179	3879.731	8307.339	7693.115	2629.145	1.155	17736.570	111.658	33447.822	210.566
5000.302	5000.324	0.000	0.000	0.000	0.000	2.398	1.291	2.398	1.291	1.838	1.672	1.838	1.672	1.838	1.693	1.838	1.692	2.830	0.001	22.782	0.097	23.378	0.100	0.000	0.000	0.000	0.000	456079.210	245460.914	908550.773	488980.200	240088.994	218356.569	476376.615	433255.859	4092.861	3770.213	8120.213	7475.636	2636.717	0.634	17770.199	75.885	33511.321	143.105
5000.324	5000.345	0.000	0.000	0.000	0.000	2.398	1.238	2.398	1.238	1.815	1.640	1.815	1.640	1.815	1.662	1.815	1.661	2.848	0.000	22.927	0.067	23.527	0.068	0.000	0.000	0.000	0.000	455945.029	235425.169	908283.473	468988.094	237022.498	214124.347	470292.175	424858.425	4040.586	3700.479	8016.499	7337.057	2653.764	0.352	17883.334	52.000	33725.386	98.065
5000.345	5000.367	0.000	0.000	0.000	0.000	2.371	1.175	2.371	1.175	1.768	1.587	1.768	1.587	1.768	1.610	1.768	1.609	2.843	0.000	22.880	0.045	23.479	0.046	0.000	0.000	0.000	0.000	450932.338	223377.372	898297.742	444987.800	230942.490	207238.388	458228.425	411195.532	3936.939	3584.704	7810.863	7107.208	2648.823	0.193	17846.271	35.289	33656.319	66.552
5000.367	5000.389	0.000	0.000	0.000	0.000	2.295	1.090	2.295	1.090	1.689	1.505	1.689	1.505	1.689	1.529	1.689	1.527	2.765	0.000	22.242	0.030	22.825	0.031	0.000	0.000	0.000	0.000	436402.419	207354.463	869352.837	413068.725	220519.870	196556.160	437548.209	390000.211	3759.261	3403.011	7458.352	6746.689	2576.246	0.103	17348.923	23.290	32718.605	43.922
5000.389	5000.411	0.000	0.000	0.000	0.000	2.329	1.062	2.329	1.062	1.668	1.477	1.668	1.477	1.668	1.501	1.668	1.500	2.850	0.000	22.911	0.021	23.513	0.021	0.000	0.000	0.000	0.000	442936.456	201885.334	882369.226	402173.728	217851.396	192871.964	432253.511	382690.152	3713.771	3342.256	7368.100	6625.959	2655.066	0.058	17871.099	16.315	33704.628	30.770
5000.411	5000.433	0.000	0.000	0.000	0.000	2.261	0.989	2.261	0.989	1.587	1.396	1.587	1.396	1.587	1.420	1.587	1.419	2.797	0.000	22.475	0.014	23.066	0.014	0.000	0.000	0.000	0.000	429942.787	188032.650	856484.670	374577.937	207306.663	182314.395	411331.001	361742.173	3534.012	3162.143	7011.460	6268.627	2605.483	0.032	17531.138	10.902	33064.286	20.561
5000.433	5000.455	0.000	0.000	0.000	0.000	2.249	0.944	2.249	0.944	1.555	1.358	1.555	1.358	1.555	1.383	1.555	1.382	2.798	0.000	22.486	0.009	23.078	0.010	0.000	0.000	0.000	0.000	427754.213	179431.997	852124.834	357444.663	203087.801	177401.943	402960.076	351995.048	3462.092	3079.734	6868.771	6105.002	2606.734	0.017	17539.709	7.404	33081.212	13.965
5000.455	5000.476	0.000	0.000	0.000	0.000	2.178	0.876	2.178	0.876	1.477	1.282	1.477	1.282	1.477	1.306	1.477	1.305	2.725	0.000	21.879	0.006	22.454	0.006	0.000	0.000	0.000	0.000	414132.591	166649.879	824989.339	331981.536	192897.332	167370.193	382740.485	332090.384	3288.373	2908.211	6524.112	5764.745	2538.982	0.009	17065.845	4.900	32187.321	9.243
5000.476	5000.498	0.000	0.000	0.000	0.000	2.101	0.811	2.101	0.811	1.390	1.198	1.390	1.198	1.390	1.222	1.390	1.221	2.669	0.000	21.437	0.004	22.002	0.004	0.000	0.000	0.000	0.000	399590.723	154262.251	796020.631	307304.266	181497.271	156427.065	360120.862	310377.392	3094.033	2720.513	6138.543	5392.460	2486.785	0.005	16720.977	3.266	31538.543	6.161
5000.498	5000.520	0.000	0.000	0.000	0.000	1.993	0.738	1.993	0.738	1.282	1.097	1.282	1.097	1.282	1.121	1.282	1.119	2.562	0.000	20.554	0.003	21.096	0.003	0.000	0.000	0.000	0.000	379063.528	140400.928	755128.613	279691.266	167397.412	143308.860	332144.391	284348.684	2853.669	2494.619	5661.662	4944.496	2386.741	0.003	16032.577	2.131	30240.469	4.020
5000.520	5000.542	0.000	0.000	0.000	0.000	1.876	0.666	1.876	0.666	1.180	1.003	1.180	1.003	1.180	1.026	1.180	1.025	2.448	0.000	19.647	0.002	20.166	0.002	0.000	0.000	0.000	0.000	356696.628	126734.613	710571.738	252466.738	154105.999	131044.691	305772.009	260014.528	2627.086	2283.199	5212.124	4525.257	2280.546	0.001	15324.618	1.385	28906.560	2.613
5000.542	5000.564	0.000	0.000	0.000	0.000	1.799	0.613	1.799	0.613	1.107	0.935	1.107	0.935	1.107	0.957	1.107	0.956	2.358	0.000	18.914	0.001	19.414	0.001	0.000	0.000	0.000	0.000	342113.607	116598.514	681521.051	232274.718	144610.823	122145.759	286931.997	242357.562	2465.219	2130.078	4890.981	4221.597	2196.705	0.001	14753.349	0.905	27829.152	1.708
5000.564	5000.585	0.000	0.000	0.000	0.000	1.713	0.560	1.713	0.560	1.022	0.858	1.022	0.858	1.022	0.878	1.022	0.877	2.280	0.000	18.286	0.001	18.769	0.001	0.000	0.000	0.000	0.000	325787.844	106516.452	648998.663	212190.344	133485.854	111993.444	264858.202	222213.675	2275.569	1954.800	4514.716	3874.050	2124.263	0.000	14262.959	0.595	26905.106	1.123
5000.585	5000.607	0.000	0.000	0.000	0.000	1.603	0.503	1.603	0.503	0.923	0.769	0.923	0.769	0.923	0.788	0.923	0.787	2.178	0.000	17.464	0.000	17.927	0.001	0.000	0.000	0.000	0.000	304760.351	95569.364	607110.007	190382.762	120523.189	100437.228	239138.112	199284.215	2054.591	1754.683	4076.297	3477.309	2028.800	0.000	13622.308	0.386	25697.924	0.728
5000.607	5000.629	0.000	0.000	0.000	0.000	1.524	0.458	1.524	0.458	0.849	0.703	0.849	0.703	0.849	0.721	0.849	0.720	2.105	0.000	16.889	0.000	17.338	0.000	0.000	0.000	0.000	0.000	289826.188	87190.857	577359.812	173692.024	110833.992	91743.532	219913.129	182034.472	1889.417	1604.251	3748.592	3179.059	1961.495	0.000	13173.669	0.254	24852.777	0.479
5000.629	5000.651	0.000	0.000	0.000	0.000	1.414	0.408	1.414	0.408	0.767	0.630	0.767	0.630	0.767	0.647	0.767	0.646	1.967	0.000	15.774	0.000	16.193	0.000	0.000	0.000	0.000	0.000	268995.312	77620.323	535862.836	154626.659	100118.710	82317.747	198652.223	163332.142	1706.750	1440.733	3386.183	2854.903	1832.821	0.000	12303.891	0.161	23212.227	0.304
5000.651	5000.673	0.000	0.000	0.000	0.000	1.343	0.372	1.343	0.372	0.707	0.577	0.707	0.577	0.707	0.593	0.707	0.592	1.880	0.000	15.058	0.000	15.458	0.000	0.000	0.000	0.000	0.000	255336.017	70699.959	508652.291	140840.672	92297.717	75380.554	183134.067	149567.594	1573.424	1320.506	3121.664	2616.557	1751.457	0.000	11745.620	0.105	22158.955	0.198
5000.673	5000.695	0.000	0.000	0.000	0.000	1.199	0.318	1.199	0.318	0.608	0.493	0.608	0.493	0.608	0.507	0.608	0.507	1.715	0.000	13.739	0.000	14.104	0.000	0.000	0.000	0.000	0.000	227940.286	60547.982	454077.534	120617.022	79381.448	64397.946	157506.036	127776.267	1353.237	1129.133	2684.814	2237.260	1597.471	0.000	10716.194	0.065	20217.977	0.123
5000.695	5000.716	0.000	0.000	0.000	0.000	1.092	0.278	1.092	0.278	0.528	0.425	0.528	0.425	0.528	0.438	0.528	0.437	1.587	0.000	12.719	0.000	13.058	0.000	0.000	0.000	0.000	0.000	207577.995	52898.852	413514.020	105379.267	68905.746	55526.167	136720.495	110173.177	1174.655	974.455	2330.508	1930.702	1478.721	0.000	9920.822	0.041	18718.245	0.077
5000.716	5000.738	0.000	0.000	0.000	0.000	0.964	0.236	0.964	0.236	0.447	0.358	0.447	0.358	0.447	0.369	0.447	0.368	1.414	0.000	11.322	0.000	11.625	0.000	0.000	0.000	0.000	0.000	183401.259	44834.069	365351.790	89313.494	58423.229	46762.714	115921.432	92785.025	995.956	821.406	1975.972	1627.394	1317.878	0.000	8831.643	0.025	16663.246	0.047
5000.738	5000.760	0.000	0.000	0.000	0.000	0.819	0.192	0.819	0.192	0.363	0.288	0.363	0.288	0.363	0.297	0.363	0.297	1.247	0.000	10.004	0.000	10.272	0.000	0.000	0.000	0.000	0.000	155750.850	36526.158	310269.689	72763.389	47377.690	37667.574	94005.241	74738.750	807.660	662.244	1602.393	1312.003	1162.093	0.000	7803.183	0.015	14724.449	0.028
5000.760	5000.782	0.000	0.000	0.000	0.000	0.734	0.165	0.734	0.165	0.307	0.243	0.307	0.243	0.307	0.250	0.307	0.250	1.137	0.000	9.114	0.000	9.359	0.000	0.000	0.000	0.000	0.000	139664.547	31425.431	278224.330	62602.283	40113.600	31680.127	79592.074	62858.657	683.827	557.477	1356.709	1104.398	1059.636	0.000	7109.370	0.009	13415.458	0.017
5000.782	5000.804	0.000	0.000	0.000	0.000	0.617	0.133	0.617	0.133	0.247	0.194	0.247	0.194	0.247	0.201	0.247	0.200	0.967	0.000	7.754	0.000	7.962	0.000	0.000	0.000	0.000	0.000	117323.960	25316.227	233719.872	50432.198	32317.824	25351.454	64123.954	50301.514	550.931	446.517	1093.043	884.540	900.921	0.000	6048.010	0.005	11413.211	0.010
5000.804	5000.825	0.000	0.000	0.000	0.000	0.528	0.109	0.528	0.109	0.197	0.154	0.197	0.154	0.197	0.159	0.197	0.159	0.858	0.000	6.883	0.000	7.068	0.000	0.000	0.000	0.000	0.000	100447.965	20801.104	200101.374	41437.668	25777.722	20085.991	51147.300	39853.958	439.440	354.095	871.846	701.425	799.392	0.000	5368.802	0.003	10132.215	0.006
5000.825	5000.847	0.000	0.000	0.000	0.000	0.439	0.087	0.439	0.087	0.149	0.115	0.149	0.115	0.149	0.119	0.149	0.119	0.738	0.000	5.923	0.000	6.083	0.000	0.000	0.000	0.000	0.000	83398.186	16565.560	166136.681	33000.085	19419.990	15031.405	38532.501	29824.814	331.058	265.226	656.817	525.363	687.296	0.000	4619.989	0.002	8719.778	0.004
5000.847	5000.869	0.000	0.000	0.000	0.000	0.352	0.067	0.352	0.067	0.110	0.085	0.110	0.085	0.110	0.088	0.110	0.088	0.595	0.000	4.775	0.000	4.904	0.000	0.000	0.000	0.000	0.000	66957.193	12763.737	133384.745	25426.512	14388.782	11062.266	28549.744	21949.381	245.289	195.368	486.653	386.972	554.789	0.000	3724.285	0.001	7029.165	0.002
