ECD_um,Shape_Factor
4.06,0.90
4.06,0.91
3.81,0.91
4.08,0.91
3.98,0.92
4.15,0.92
4.15,0.92
4.13,0.92
4.14,0.92
4.11,0.92
3.96,0.93
4.09,0.93
3.94,0.93
4.11,0.94
4.23,0.94
3.98,0.94
4.08,0.94
4.00,0.94
4.08,0.94
4.18,0.94
3.88,0.94
4.07,0.94
4.12,0.94
4.04,0.94
4.03,0.94
4.02,0.94
4.05,0.94
4.13,0.94
3.97,0.94
4.06,0.95
4.15,0.95
4.08,0.95
3.90,0.95
4.19,0.95
4.11,0.95
4.10,0.95
4.14,0.95
4.15,0.95
4.14,0.95
3.99,0.95
4.19,0.95
4.04,0.95
4.04,0.95
4.31,0.95
4.05,0.95
4.04,0.96
4.17,0.96
4.08,0.96
3.97,0.96
4.02,0.96
3.97,0.96
4.10,0.96
4.13,0.96
4.02,0.96
4.22,0.96
4.01,0.96
4.13,0.96
4.26,0.96
4.22,0.96
4.06,0.96
4.12,0.97
4.20,0.97
3.55,0.97
4.21,0.97
4.16,0.97
4.04,0.97
4.14,0.97
4.20,0.97
4.20,0.97
4.11,0.97
3.91,0.97
4.29,0.97
4.11,0.97
4.07,0.97
4.02,0.97
4.07,0.97
3.94,0.97
4.19,0.97
4.11,0.97
4.00,0.97
3.97,0.97
4.12,0.97
4.18,0.97
4.12,0.97
3.98,0.97
4.05,0.97
4.06,0.97
4.04,0.97
4.17,0.97
4.11,0.97
4.30,0.97
4.00,0.97
3.70,0.97
4.14,0.98
3.96,0.98
4.12,0.98
4.22,0.98
4.00,0.98
4.06,0.98
3.97,0.98
4.20,0.98
4.04,0.98
3.98,0.98
4.20,0.98
4.08,0.98
4.25,0.98
4.16,0.98
3.71,0.98
4.13,0.98
4.12,0.98
4.06,0.98
4.14,0.98
4.10,0.98
4.07,0.98
4.26,0.98
4.09,0.98
4.24,0.98
3.71,0.98
4.05,0.98
4.07,0.98
4.04,0.98
4.01,0.98
4.01,0.98
4.09,0.98
4.16,0.98
4.20,0.98
4.06,0.98
4.09,0.98
4.18,0.98
4.21,0.98
4.11,0.98
4.01,0.98
3.95,0.98
3.95,0.98
4.06,0.98
4.23,0.98
4.09,0.98
4.12,0.98
4.04,0.98
4.07,0.98
4.16,0.99
3.96,0.99
4.07,0.99
4.13,0.99
4.09,0.99
4.13,0.99
4.07,0.99
4.08,0.99
4.24,0.99
4.08,0.99
4.21,0.99
4.01,0.99
4.04,0.99
4.23,0.99
4.28,0.99
4.23,0.99
4.16,0.99
4.13,0.99
4.30,0.99
3.95,0.99
3.97,0.99
4.02,0.99
4.07,0.99
4.12,0.99
4.19,0.99
4.08,0.99
4.03,0.99
4.19,0.99
3.94,0.99
4.09,0.99
4.04,0.99
4.10,0.99
4.12,0.99
4.05,0.99
4.22,0.99
4.03,0.99
4.35,0.99
4.14,0.99
4.09,0.99
3.74,0.99
4.24,0.99
3.99,0.99
4.04,0.99
4.14,0.99
4.02,0.99
4.04,0.99
4.03,0.99
3.97,0.99
4.04,0.99
4.08,0.99
4.08,0.99
4.06,0.99
4.13,0.99
4.23,0.99
3.88,0.99
3.85,0.99
4.09,0.99
4.13,0.99
4.02,0.99
4.24,0.99
4.15,1.00
4.01,1.00
4.13,1.00
3.95,1.00
4.09,1.00
3.94,1.00
4.16,1.00
4.13,1.00
3.89,1.00
4.17,1.00
4.04,1.00
4.18,1.00
4.22,1.00
4.11,1.00
3.90,1.00
4.02,1.00
4.27,1.00
4.20,1.00